schedule_id,deal_id,venue_id,day_of_week,start_time,end_time,is_active
AS001,AD001,ARL001,Monday,18:00,21:00,TRUE
AS002,AD002,ARL001,Monday,18:00,21:00,TRUE
AS003,AD003,ARL001,Tuesday,11:30,01:00,TRUE
AS004,AD004,ARL001,Tuesday,11:30,01:00,TRUE
AS005,AD005,ARL001,Tuesday,11:30,01:00,TRUE
AS006,AD006,ARL001,Thursday,18:00,23:00,TRUE
AS007,AD007,ARL001,Thursday,18:00,23:00,TRUE
AS008,AD008,ARL001,Friday,18:00,23:59,TRUE
AS009,AD009,ARL002,Tuesday,19:00,21:00,TRUE
AS010,AD010,ARL002,Saturday,11:00,12:00,TRUE
AS011,AD011,ARL002,Saturday,12:00,13:00,TRUE
AS012,AD012,ARL002,Saturday,13:00,14:00,TRUE
AS013,AD013,ARL002,Saturday,14:00,15:00,TRUE
AS014,AD014,ARL002,Saturday,11:00,0:00,TRUE
AS015,AD015,ARL002,Friday,18:00,21:00,TRUE
AS016,AD016,ARL003,Monday,15:00,18:00,TRUE
AS017,AD016,ARL003,Tuesday,15:00,18:00,TRUE
AS018,AD016,ARL003,Wednesday,15:00,18:00,TRUE
AS019,AD016,ARL003,Thursday,15:00,18:00,TRUE
AS020,AD016,ARL003,Friday,15:00,18:00,TRUE
AS021,AD017,ARL003,Monday,15:00,18:00,TRUE
AS022,AD017,ARL003,Tuesday,15:00,18:00,TRUE
AS023,AD017,ARL003,Wednesday,15:00,18:00,TRUE
AS024,AD017,ARL003,Thursday,15:00,18:00,TRUE
AS025,AD017,ARL003,Friday,15:00,18:00,TRUE
AS026,AD018,ARL003,Monday,15:00,18:00,TRUE
AS027,AD018,ARL003,Tuesday,15:00,18:00,TRUE
AS028,AD018,ARL003,Wednesday,15:00,18:00,TRUE
AS029,AD018,ARL003,Thursday,15:00,18:00,TRUE
AS030,AD018,ARL003,Friday,15:00,18:00,TRUE
AS031,AD019,ARL003,Monday,15:00,18:00,TRUE
AS032,AD019,ARL003,Tuesday,15:00,18:00,TRUE
AS033,AD019,ARL003,Wednesday,15:00,18:00,TRUE
AS034,AD019,ARL003,Thursday,15:00,18:00,TRUE
AS035,AD019,ARL003,Friday,15:00,18:00,TRUE
AS038,AD022,ARL004,Monday,15:00,19:00,TRUE
AS039,AD022,ARL004,Tuesday,15:00,19:00,TRUE
AS040,AD022,ARL004,Wednesday,15:00,19:00,TRUE
AS041,AD022,ARL004,Thursday,15:00,19:00,TRUE
AS042,AD022,ARL004,Friday,15:00,19:00,TRUE
AS043,AD023,ARL004,Monday,15:00,19:00,TRUE
AS044,AD023,ARL004,Tuesday,15:00,19:00,TRUE
AS045,AD023,ARL004,Wednesday,15:00,19:00,TRUE
AS046,AD023,ARL004,Thursday,15:00,19:00,TRUE
AS047,AD023,ARL004,Friday,15:00,19:00,TRUE
AS048,AD024,ARL004,Monday,15:00,19:00,TRUE
AS049,AD024,ARL004,Tuesday,15:00,19:00,TRUE
AS050,AD024,ARL004,Wednesday,15:00,19:00,TRUE
AS051,AD024,ARL004,Thursday,15:00,19:00,TRUE
AS052,AD024,ARL004,Friday,15:00,19:00,TRUE
