deal_id,venue_id,deal_name,description,category,deal_price,original_price,is_food,is_drink,is_active
D001,SC001,$3 Long Island Iced Tea,Saturday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D002,SC001,$3 Tokyo Tea,Saturday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D003,SC001,$3 Vodka & Soda,Saturday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D004,SC001,$3 Tequila Shot,Saturday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D005,SC001,$3 Corona,Saturday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D006,SC001,$3 Dirty Shirley,Friday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D007,SC001,$3 Tequila & Sours,Friday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D008,SC001,$3 Lemon Drop Shot,Friday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D009,SC001,$2 U-Call-Its,Thursday/Tuesday special,Drinks,$2.00,,FALSE,TRUE,TRUE
D010,SC001,$2 Vodka Shots,Thursday special,Drinks,$2.00,,FALSE,TRUE,TRUE
D011,SC001,$2 Green Tea Shots,Thursday special,Drinks,$2.00,,FALSE,TRUE,TRUE
D012,SC001,$2 Tequila Shots,Tuesday special,Drinks,$2.00,,FALSE,TRUE,TRUE
D013,SC001,$2 White Tea Shots,Tuesday special,Drinks,$2.00,,FALSE,TRUE,TRUE
D014,SC002,$5 24oz Tallboys,"Feature, all day",Drinks,$5.00,,FALSE,TRUE,TRUE
D015,SC002,$7 Liquor Pitchers,"Feature, open-midnight",Drinks,$7.00,,FALSE,TRUE,TRUE
D016,SC002,$3 Jolly Rancher Shots,Wednesday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D017,SC002,$3 Blue Moon Bottles,Wednesday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D018,SC002,"Half Off Well Drinks, Beers & Mixed Shots",Thursday - half off,Half,,,FALSE,TRUE,TRUE
D019,SC002,"$5 Truly, White Claw & High Noon Cans",Friday special,Drinks,$5.00,,FALSE,TRUE,TRUE
D020,SC002,$4 Bombs,Friday special,Drinks,$4.00,,FALSE,TRUE,TRUE
D021,SC002,$3 Tequila Shots,Saturday special,Drinks,$3.00,,FALSE,TRUE,TRUE
D022,SC002,$4 Corona Bottles,Saturday special,Drinks,$4.00,,FALSE,TRUE,TRUE
D023,SC003,1/2 Off All Drafts,"Happy hour, starting at $2",Half,,,FALSE,TRUE,TRUE
