schedule_id,deal_id,venue_id,day_of_week,start_time,end_time,is_active
S001,D009,SC001,Tuesday,21:00,0:00,TRUE
S002,D012,SC001,Tuesday,21:00,0:00,TRUE
S003,D013,SC001,Tuesday,21:00,0:00,TRUE
S004,D009,SC001,Thursday,21:00,23:00,TRUE
S005,D010,SC001,Thursday,21:00,23:00,TRUE
S006,D011,SC001,Thursday,21:00,23:00,TRUE
S007,D001,SC001,Friday,21:00,23:00,TRUE
S008,D006,SC001,Friday,21:00,23:00,TRUE
S009,D007,SC001,Friday,21:00,23:00,TRUE
S010,D008,SC001,Friday,21:00,23:00,TRUE
S011,D005,SC001,Friday,21:00,23:00,TRUE
S012,D001,SC001,Saturday,21:00,23:00,TRUE
S013,D002,SC001,Saturday,21:00,23:00,TRUE
S014,D003,SC001,Saturday,21:00,23:00,TRUE
S015,D004,SC001,Saturday,21:00,23:00,TRUE
S016,D005,SC001,Saturday,21:00,23:00,TRUE
S017,D016,SC002,Wednesday,21:00,0:00,TRUE
S018,D017,SC002,Wednesday,21:00,0:00,TRUE
S019,D018,SC002,Thursday,21:00,0:00,TRUE
S020,D019,SC002,Friday,21:00,0:00,TRUE
S021,D020,SC002,Friday,21:00,0:00,TRUE
S022,D021,SC002,Saturday,21:00,0:00,TRUE
S023,D022,SC002,Saturday,21:00,0:00,TRUE
S024,D023,SC003,Monday,21:00,23:00,TRUE
S025,D024,SC003,Monday,21:00,23:00,TRUE
S026,D025,SC003,Monday,21:00,23:00,TRUE
S027,D026,SC003,Monday,21:00,23:00,TRUE
S028,D027,SC003,Monday,21:00,23:00,TRUE
S029,D028,SC003,Monday,21:00,23:00,TRUE
S030,D029,SC003,Monday,21:00,23:00,TRUE
S031,D030,SC003,Monday,21:00,23:00,TRUE
S032,D031,SC003,Monday,21:00,23:00,TRUE
S033,D023,SC003,Tuesday,21:00,23:00,TRUE
S034,D024,SC003,Tuesday,21:00,23:00,TRUE
S035,D025,SC003,Tuesday,21:00,23:00,TRUE
S036,D026,SC003,Tuesday,21:00,23:00,TRUE
S037,D027,SC003,Tuesday,21:00,23:00,TRUE
S038,D028,SC003,Tuesday,21:00,23:00,TRUE
S039,D029,SC003,Tuesday,21:00,23:00,TRUE
S040,D030,SC003,Tuesday,21:00,23:00,TRUE
S041,D031,SC003,Tuesday,21:00,23:00,TRUE
S042,D023,SC003,Wednesday,21:00,23:00,TRUE
S043,D024,SC003,Wednesday,21:00,23:00,TRUE
S044,D025,SC003,Wednesday,21:00,23:00,TRUE
S045,D026,SC003,Wednesday,21:00,23:00,TRUE
S046,D027,SC003,Wednesday,21:00,23:00,TRUE
S047,D028,SC003,Wednesday,21:00,23:00,TRUE
S048,D029,SC003,Wednesday,21:00,23:00,TRUE
S049,D030,SC003,Wednesday,21:00,23:00,TRUE
S050,D031,SC003,Wednesday,21:00,23:00,TRUE
S051,D023,SC003,Thursday,21:00,23:00,TRUE
S052,D024,SC003,Thursday,21:00,23:00,TRUE
S053,D025,SC003,Thursday,21:00,23:00,TRUE
S054,D026,SC003,Thursday,21:00,23:00,TRUE
S055,D027,SC003,Thursday,21:00,23:00,TRUE
S056,D028,SC003,Thursday,21:00,23:00,TRUE
S057,D029,SC003,Thursday,21:00,23:00,TRUE
S058,D030,SC003,Thursday,21:00,23:00,TRUE
S059,D031,SC003,Thursday,21:00,23:00,TRUE
S060,D023,SC003,Saturday,21:00,23:00,TRUE
S061,D024,SC003,Saturday,21:00,23:00,TRUE
S062,D025,SC003,Saturday,21:00,23:00,TRUE
S063,D026,SC003,Saturday,21:00,23:00,TRUE
S064,D027,SC003,Saturday,21:00,23:00,TRUE
S065,D028,SC003,Saturday,21:00,23:00,TRUE
S066,D029,SC003,Saturday,21:00,23:00,TRUE
S067,D030,SC003,Saturday,21:00,23:00,TRUE
S068,D031,SC003,Saturday,21:00,23:00,TRUE
S069,D023,SC003,Friday,18:00,20:00,TRUE
S070,D024,SC003,Friday,18:00,20:00,TRUE
S071,D025,SC003,Friday,18:00,20:00,TRUE
S072,D026,SC003,Friday,18:00,20:00,TRUE
S073,D027,SC003,Friday,18:00,20:00,TRUE
S074,D028,SC003,Friday,18:00,20:00,TRUE
S075,D029,SC003,Friday,18:00,20:00,TRUE
S076,D030,SC003,Friday,18:00,20:00,TRUE
S077,D031,SC003,Friday,18:00,20:00,TRUE
S078,D032,SC003,Monday,21:00,23:00,TRUE
S079,D033,SC003,Tuesday,21:00,23:00,TRUE
S080,D034,SC003,Wednesday,21:00,23:00,TRUE
S081,D035,SC003,Thursday,21:00,23:00,TRUE
S082,D036,SC004,Monday,11:00,0:00,TRUE
